adduct,mz,rt,name
M+H-H2O,359.2945,12.51,LITHOCHOLIC ACID-H2O
M+H,191.1026,0.65,"LL-2,6-DIAMINOHEPTANEDIOATE"
M+H-H2O,173.0921,0.65,"LL-2,6-DIAMINOHEPTANEDIOATE-H2O"
M+H-NH3,174.0761,0.65,"LL-2,6-DIAMINOHEPTANEDIOATE-NH3"
M+K,229.0585,0.65,"LL-2,6-DIAMINOHEPTANEDIOATE+K"
M+Na,213.0846,0.65,"LL-2,6-DIAMINOHEPTANEDIOATE+Na"
M+H,243.0877,7.87,LUMICHROME
,496.3403,12.08,LYSO PC (16:0)
M+Na,518.3221,12.25,LYSO PC (16:0)+Na
,494.3247,11.22,LYSO PC (16:1)
,524.3716,14.7,LYSO PC (18:0)
M+H,524.3731,15.46,LYSO PC (18:0)
M+H,522.3579,12.3,LYSO PC (18:1)
M+H,520.3417,11.45,LYSO PC (18:2)
M+H,544.339,12.3,LYSO PC (20:4)
M+H,544.339,11.58,LYSO PC (20:4)
M+H,568.3424,11.47,LYSO PC (22:6)
M+H,482.3243,14.42,LYSO PE (18:0)
M+Na,504.304,14.43,LYSO PE (18:0)+Na
,480.309,12.32,LYSO PE (18:1)
M+H,502.2926,11.32,LYSO PE (20:4)
M+H,530.3238,12.15,LYSO PE (22:4)
M+H,526.2927,11.35,LYSO PE (22:6)
M+H,135.0288,0.98,MALATE
M+Na,157.0107,0.98,MALATE+Na
M+Na,138.0162,5.48,MALEAMATE
M+H,117.0182,1.63,MALEIC ACID
M+H-H2O,99.0077,1.63,MALEIC ACID-H2O
M+Na,139.0002,1.63,MALEIC ACID+Na
M+H,98.0237,1.44,MALEIMIDE
M+H,105.0182,1.07,MALONATE
M+Na,127.0002,1.07,MALONATE+Na
M+H,248.1129,2.16,MALONYLCARNITINE
M+H,343.1235,0.72,MALTOSE
M+H-H2O,325.1129,0.72,MALTOSE-H2O
M+Na,365.1054,0.72,MALTOSE+Na
M+H,183.0863,0.7,MANNITOL/Sorbitol
M+H-H2O,165.0757,0.7,MANNITOL/Sorbitol-H2O
M+K,221.0422,0.7,MANNITOL/Sorbitol+K
M+Na,205.0683,0.7,MANNITOL/Sorbitol+Na
M+H,181.0707,0.68,MANNOSE
M+K,219.0265,0.68,MANNOSE+K
M+Na,203.0526,0.68,MANNOSE+Na
M+H,233.1285,8.21,MELATONIN
M+H-NH3,216.1019,8.21,MELATONIN-NH3
M+K,271.0843,8.21,MELATONIN+K
M+Na,255.1104,8.21,MELATONIN+Na
M+H,343.1235,0.82,MELIBIOSE
M+H-H2O,325.1129,0.82,MELIBIOSE-H2O
M+Na,365.1054,0.82,MELIBIOSE+Na
M+Na,173.0057,0.74,MESO-TARTARIC ACID
,166.05351,0.72,METHIONINE SULFOXIDE
M+H,195.0863,0.85,METHYL BETA-D-GALACTOSIDE
M+K,233.0422,0.85,METHYL BETA-D-GALACTOSIDE+K
M+Na,217.0683,0.85,METHYL BETA-D-GALACTOSIDE+Na
M+H,190.0863,10.03,METHYL INDOLE-3-ACETATE
M+H,225.1485,10.86,METHYL JASMONATE
,225.1485,10.03,METHYL JASMONATE
M+H-H2O,207.138,10.86,METHYL JASMONATE-H2O
M+H-H2O,151.039,2.97,METHYL VANILLATE-H2O
M+H,258.1085,2.65,METHYLCYTIDINE
M+H,290.1598,6.04,Methylglutaryl-L-carnitine
M+H,119.0339,2.48,METHYLMALONATE
M+H-H2O,101.0233,2.48,METHYLMALONATE-H2O
M+Na,141.0158,2.48,METHYLMALONATE+Na
M+H,149.0808,2.3,MEVALOLACTONE
M+Na,171.0628,2.3,MEVALOLACTONE_Na
M+H,409.2056,5.66,MGDG (2:0_7:0)
M+NH4,652.4024,7.17,MGDG (22:6_4:0)
M+NH4,440.2498,6.93,MGDG (7:0_3:0)
M+H,147.0652,6.32,MONO-METHYL GLUTARATE
M+H,147.0652,5.96,MONO-METHYL GLUTARATE
M+H-H2O,129.0546,6.32,MONO-METHYL GLUTARATE-H2O
M+H-H2O,129.0546,5.96,MONO-METHYL GLUTARATE-H2O
M+Na,169.0471,6.32,MONO-METHYL GLUTARATE+Na
M+Na,169.0471,5.96,MONO-METHYL GLUTARATE+Na
,257.0805,10.21,Monobenzyl phthalate (mBzP)
,223.09599,10.86,Monobutyl phthalate
,223.0963,9.86,Monobutyl phthalate (mBP)
,195.0651,8.38,Monoethyl phthalate (mEP)
,181.0495,7.73,Monomethyl phthalate (MMP)
,279.1584,12.58,Monooctyl phtlate (MOP)
M+H-H2O,375.2894,9.98,MURIDEOXYCHOLIC ACID
M+H,181.0707,0.67,MYO-INOSITOL
M+K,219.0265,0.67,MYO-INOSITOL
M+H-H2O,163.0601,0.67,MYO-INOSITOL-H2O
M+Na,203.0526,0.67,MYO-INOSITOL+Na
M+H,372.3108,14.93,MYRISOTYLCARNITINE
M+Na,394.2928,14.93,MYRISOTYLCARNITINE+Na
M+K,267.1721,12.06,MYRISTIC ACID+K
,381.36633,13.31,"MYRISTOLCARNITINE (N,N,N-trimethyl-D9)"
,217.1295,1.48,N-Acetyl-Arginine 
M+H,222.0972,0.77,N-ACETYL-D-GALACTOSAMINE
M+H-H2O,204.0866,0.77,N-ACETYL-D-GALACTOSAMINE-H2O
M+Na,244.0792,0.77,N-ACETYL-D-GALACTOSAMINE+Na
M+H,222.0972,0.73,N-ACETYL-D-GLUCOSAMINE
M+H-H2O,204.0866,0.73,N-ACETYL-D-GLUCOSAMINE-H2O
M+K,260.0531,0.73,N-ACETYL-D-GLUCOSAMINE+K
M+Na,244.0792,0.73,N-ACETYL-D-GLUCOSAMINE+Na
M+H,247.1077,7.76,N-ACETYL-D-TRYPTOPHAN
M+H-H2O,229.0972,7.76,N-ACETYL-D-TRYPTOPHAN-H2O
M+K,285.0636,7.76,N-ACETYL-D-TRYPTOPHAN+K
M+Na,269.0897,7.76,N-ACETYL-D-TRYPTOPHAN+Na
M+H,190.071,2.13,N-ACETYL-DL-GLUTAMIC ACID
M+H-H2O,172.0604,2.13,N-ACETYL-DL-GLUTAMIC ACID-H2O
M+Na,212.0529,2.13,N-ACETYL-DL-GLUTAMIC ACID+Na
M+H,192.0689,6.04,N-ACETYL-DL-METHIONINE
M+H-H2O,174.0583,6.04,N-ACETYL-DL-METHIONINE-H2O
M+Na,214.0508,6.04,N-ACETYL-DL-METHIONINE+Na
M+H,148.0604,1,N-ACETYL-DL-SERINE
M+H-H2O,130.0499,1,N-ACETYL-DL-SERINE-H2O
M+Na,170.0424,1,N-ACETYL-DL-SERINE+Na
M+Na,244.07916,0.75,N-ACETYL-HEXOSAMINE+Na
M+H,132.0655,2.16,N-ACETYL-L-ALANINE
M+H-H2O,114.055,2.16,N-ACETYL-L-ALANINE-H2O
M+Na,154.0475,2.16,N-ACETYL-L-ALANINE+Na
M+H,176.0553,1.38,N-ACETYL-L-ASPARTIC ACID
M+H-H2O,158.0448,1.38,N-ACETYL-L-ASPARTIC ACID-H2O
M+K,214.0112,1.38,N-ACETYL-L-ASPARTIC ACID+K
M+Na,198.0373,1.38,N-ACETYL-L-ASPARTIC ACID+Na
M+H,164.0376,3.11,N-ACETYL-L-CYSTEINE
M+H-H2O,146.027,3.11,N-ACETYL-L-CYSTEINE-H2O
M+Na,186.0195,3.11,N-ACETYL-L-CYSTEINE+Na
M+H,174.1125,6.87,N-ACETYL-L-LEUCINE
M+H-H2O,156.1019,6.87,N-ACETYL-L-LEUCINE-H2O
M+Na,196.0944,6.87,N-ACETYL-L-LEUCINE+Na
M+H,208.0968,7.36,N-ACETYL-L-PHENYLALANINE
M+H-H2O,190.0863,7.36,N-ACETYL-L-PHENYLALANINE-H2O
M+Na,230.0788,7.36,N-ACETYL-L-PHENYLALANINE+Na
M+H,190.071,2.13,N-ACETYLGLUTAMATE
M+H-2H2O,154.0498,2.13,N-ACETYLGLUTAMATE-2H2O
M+H,118.0499,1.11,N-ACETYLGLYCINE 
M+H-H2O,100.0393,1.11,N-ACETYLGLYCINE -H2O
M+Na,140.0318,1.11,N-ACETYLGLYCINE +Na
M+H,310.1133,0.76,N-ACETYLNEURAMINATE
M+H-H2O,292.1027,0.76,N-ACETYLNEURAMINATE-H2O
M+Na,332.0952,0.76,N-ACETYLNEURAMINATE+Na
M+H,131.1179,1.01,N-ACETYLPUTRESCINE
M+H-NH3,114.0913,1.01,N-ACETYLPUTRESCINE-NH3
M+Na,153.0998,1.01,N-ACETYLPUTRESCINE+Na
M+H,219.1128,6.82,N-ACETYLSEROTONIN
M+H-H2O,201.1022,6.82,N-ACETYLSEROTONIN-H2O
M+H-NH3,202.0863,6.82,N-ACETYLSEROTONIN-NH3
M+K,257.0687,6.82,N-ACETYLSEROTONIN+K
M+Na,241.0947,6.82,N-ACETYLSEROTONIN+Na
M+H,176.0666,0.78,N-AMIDINO-L-ASPARTATE
M+Na,198.0485,0.78,N-AMIDINO-L-ASPARTATE
M+H-H2O,158.056,0.78,N-AMIDINO-L-ASPARTATE-H2O
,90.05495,7.47,N-BOC-L-Alanine
M+Na,212.0899,7.47,N-BOC-L-Alanine
M+H,134.04478,7.1,N-BOC-L-Aspartic Acid
[M+Na],256.07974,7.1,N-BOC-L-Aspartic Acid
M+H,132.1019,9.44,N-BOC-L-tert-Leucine
M+Na,254.18685,9.44,N-BOC-L-tert-Leucine
,205.09715,10,N-BOC-L-Tryptophan
M+Na,327.1321,10,N-BOC-L-Tryptophan
,214.08911,10.35,N-Butylbenzenesulfonamide
,178.0529,5.76,N-FORMYL-L-METHIONINE 
M+H,104.0342,0.91,N-FORMYLGLYCINE
M+H-H2O,86.0237,0.91,N-FORMYLGLYCINE-H2O
M+H,148.0604,0.71,N-METHYL-D-ASPARTIC ACID
M+H-H2O,130.0499,0.71,N-METHYL-D-ASPARTIC ACID-H2O
M+Na,170.0424,0.71,N-METHYL-D-ASPARTIC ACID+Na
M+H,162.0761,0.77,N-METHYL-L-GLUTAMATE
M+Na,184.058,0.77,N-METHYL-L-GLUTAMATE+Na
M+H,170.0924,0.69,N-METHYL-L-HISTIDINE
M+Na,192.0743,0.69,N-METHYL-L-HISTIDINE+Na
,137.07082,0.96,N-METHYLNICOTINAMIDE
M+H,175.123,6.91,N-METHYLTRYPTAMINE
M+H,245.2336,0.6,N1-ACETYLSPERMINE
M+Na,267.2155,0.6,N1-ACETYLSPERMINE+Na
M+K,242.0803,6.88,N6-(DELTA2-ISOPENTENYL)-ADENINE
M+Na,226.1063,6.88,N6-(DELTA2-ISOPENTENYL)-ADENINE+K
M+H,204.1244,6.88,N6-(DELTA2-ISOPENTENYL)-ADENINE+Na
M+H,664.1164,3.33,NAD
M+H,189.1234,0.96,NALPHA-ACETYL-L-LYSINE
M+H-H2O,171.1128,0.96,NALPHA-ACETYL-L-LYSINE-H2O
M+H-NH3,172.0968,0.96,NALPHA-ACETYL-L-LYSINE-NH3
M+Na,211.1053,0.96,NALPHA-ACETYL-L-LYSINE+Na
M+H,124.0398,1.23,NIACIN
M+H,123.0553,1.54,NICOTINAMIDE
M+H,665.1004,3.6,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE
M+H,335.0639,1,NICOTINAMIDE MONONUCLEOTIDE
M+Na,357.0458,1,NICOTINAMIDE MONONUCLEOTIDE+Na
M+H,124.0393,1.28,NICOTINATE
M+Na,146.0212,1.28,NICOTINATE+Na
M+H,163.123,4.08,NICOTINE
,347.1242,10.65,NIFEDIPINE
,130.08626,3.11,NIPECOTIC ACID
M+H,159.138,7.25,NONANOATE
,170.0812,0.94,NORADRENALINE
M+H,379.2843,10.44,NORDEOXYCHOLIC ACID
M+H-H2O,361.2737,10.44,NORDEOXYCHOLIC ACID-H2O
M+Na,401.2662,10.44,NORDEOXYCHOLIC ACID+Na
,152.10683,5.51,NOREPHEDRINE
M+H,184.0968,1.93,NORMETANEPHRINE
M+H-H2O,166.0863,1.93,NORMETANEPHRINE-H2O
M+Na,206.0788,1.93,NORMETANEPHRINE+Na
M+H,186.0162,0.68,O-PHOSPHO-L-SERINE
M+Na,207.9981,0.68,O-PHOSPHO-L-SERINE+Na
M+H,220.0816,1.73,O-SUCCINYL-L-HOMOSERINE
M+H-H2O,202.071,1.73,O-SUCCINYL-L-HOMOSERINE-H2O
M+Na,242.0635,1.73,O-SUCCINYL-L-HOMOSERINE+Na
M+H-NH3,411.3469,13.39,OCTADECANOYLCARNITINE-NH3
M+H,288.2169,9.01,OCTANOYLCARNITINE
,288.2175,8.83,OCTANOYLCARNITINE
,291.23499,8.87,OCTANOYLCARNITINE (N-methyl-D3)
M+Na,310.1989,9.01,OCTANOYLCARNITINE+Na
M+H,286.2013,8.7,OCTENOYLCARNITINE
M+Na,308.1832,8.7,OCTENOYLCARNITINE+Na
M+H,154.0863,1.11,OCTOPAMINE
M+H-H2O,136.0757,1.11,OCTOPAMINE-H2O
M+Na,176.0682,1.11,OCTOPAMINE+Na
M+H,217.1798,9.71,OMEGA-HYDROXYDODECANOIC ACID
M+H-H2O,199.1693,9.71,OMEGA-HYDROXYDODECANOIC ACID-H2O
M+H,290.1347,1.77,OPHTHALMIC ACID
M+Na,312.1166,1.77,OPHTHALMIC ACID+Na
,133.0972,0.64,ORNITHINE
M+H,157.0244,1.11,OROTATE
,98.98421,0.75,ORTHOPHOSPHATE
M+Na/M+Na,554.2801,7.75,OxLYSO PC (18:4(OH))/OxLysoPC (18:3(Ke))
M+H/M+H/M+Na/M+H,548.2947,13.05,"OxLYSO PC (18:4(OO))/OxLysoPC (18:3(Ke, OH))/OxoLysoPC (16:1(OO))/OxPC (18:2)"
M+H,588.2982,5.83,OxPC (20:3(KeKe))
M+Na/M+Na/M+Na/M+Na,734.3612,7.16,"OxPE (20:5(OO)_11:1(CHO))/OxPE (20:5(Ke)_11:0(COOH))/OxPE (17:2(Ke,OH)_14:3(CHO))/OxPE (20:4(Ke,OH)_11:1(CHO))"
M+H-H2O,325.1129,0.77,PALATINOSE-H2O
M+Na,365.1054,0.77,PALATINOSE+Na
,255.23117,13.54,PALMITOLEIC ACID
,400.3427,39.56,PALMITOYLCARNITINE
,403.35592,21.64,PALMITOYLCARNITINE ( N-methyl-D3)
M+Na,153.0522,6.47,PANTOLACTONE+Na
M+H,220.1179,5.55,PANTOTHENIC ACID
M+H,220.1179,5.56,PANTOTHENIC ACID
M+H-H2O,202.1074,5.55,PANTOTHENIC ACID-H2O
M+Na,242.0999,5.55,PANTOTHENIC ACID+Na
M+H,181.072,6.15,PARAXANTHINE
M+Na,203.0539,6.15,PARAXANTHINE+Na
M+H,760.5867,37.24,PC (34:1)
[M+Na],261.13058,5.85,PEG n5
M+H-H2O,85.0648,3.61,PENTANOATE
,313.1552,7.37,PHE PHE
M+H,122.0964,5.95,PHENETHYLAMINE
M+H-NH3,105.0699,5.95,PHENETHYLAMINE-NH3
M+H-NH3,134.0362,5.87,PHENYL ACETATE
M+H,136.0757,6.54,PHENYLACETAMIDE
M+H,265.1188,6.65,PHENYLACETYLGLUTAMINE
M+H,138.0913,4.5,PHENYLETHANOLAMINE
M+H-H2O,120.0808,4.5,PHENYLETHANOLAMINE-H2O
M+Na,160.0733,4.5,PHENYLETHANOLAMINE+Na
,127.03881,8.82,PHLOROGLUCINOL
M+H,168.9897,0.81,PHOSPHO(ENOL)PYRUVIC ACID
M+H-H2O,150.9791,0.81,PHOSPHO(ENOL)PYRUVIC ACID-H2O
,184.0733,0.73,PHOSPHOCHOLINE
M+H,212.0431,0.76,PHOSPHOCREATINE
M+Na,234.025,0.76,PHOSPHOCREATINE+Na
M+H,140.9947,0.72,PHOSPHONOACETATE
M+H-H2O,122.9842,0.72,PHOSPHONOACETATE-H2O
M+Na,162.9767,0.72,PHOSPHONOACETATE+Na
,167.03346,21.65,PHTALIC ACID
,279.1586,12.08,Phthalic acid mono-2-ethylhexyl ester (MEHP)
M+H,124.0393,1.31,PICOLINIC ACID
M+H-H2O,106.0287,1.31,PICOLINIC ACID-H2O
M+Na,146.0212,1.31,PICOLINIC ACID+Na
M+H,130.0863,1.27,PIPECOLIC ACID
M+K,168.0421,1.27,PIPECOLIC ACID+K
M+Na,152.0682,1.27,PIPECOLIC ACID+Na
M+H?,175.0245,2.37,PlaSMA ID-412
M+H,218.1387,5.59,PROPANOYLCARNITINE
M+Na,240.1206,5.59,PROPANOYLCARNITINE+Na
M+H,218.1387,5.59,PROPIONYLCARNITINE
,221.15693,5.62,PROPIONYLCARNITINE D3
M+Na,240.1206,5.59,PROPIONYLCARNITINE+Na
M+H-H2O,163.0601,0.74,PSICOSE-H2O
M+Na,203.0526,0.74,PSICOSE+Na
M+H,164.0567,3.2,PTERIN
M+Na,186.0386,3.2,PTERIN+Na
,153.1273,5.56,PULEGONE
,121.05087,2.93,PURINE
M+Na,143.0328,2.93,PURINE+Na
M+H,89.1073,0.59,PUTRESCINE
M+H-NH3,72.0808,0.59,PUTRESCINE-NH3
M+Na,111.0893,0.59,PUTRESCINE+Na
,80.04971,0.89,Pyridine
M+H,168.0291,1.49,"PYRIDINE-2,3-DICARBOXYLATE"
M+H-H2O,150.0186,1.49,"PYRIDINE-2,3-DICARBOXYLATE-H2O"
M+Na,190.0111,1.49,"PYRIDINE-2,3-DICARBOXYLATE+Na"
M+H,168.0655,1.77,PYRIDOXAL
M+H,248.0319,1.68,PYRIDOXAL 5'-PHOSPHATE
M+Na,270.0138,1.68,PYRIDOXAL 5'-PHOSPHATE+Na
M+H-H2O,150.055,1.77,PYRIDOXAL-H2O
M+K,206.0214,1.77,PYRIDOXAL+K
M+Na,190.0475,1.77,PYRIDOXAL+Na
M+H,169.0972,0.72,PYRIDOXAMINE
,249.0643,11.55,PYRIDOXAMINE 5'-PHOSPHATE
M+H-H2O,151.0866,0.72,PYRIDOXAMINE-H2O
M+H-NH3,152.0706,0.72,PYRIDOXAMINE-NH3
M+Na,191.0791,0.72,PYRIDOXAMINE+Na
M+H,170.0812,2.7,PYRIDOXINE
M+H-H2O,152.0706,2.7,PYRIDOXINE-H2O
M+Na,192.0631,2.7,PYRIDOXINE+Na
,130.04997,1.7,PYROGLUTAMIC ACID
M+H,112.0393,6.17,PYRROLE-2-CARBOXYLATE
M+H,193.0707,0.79,QUINATE
M+H-H2O,175.0601,0.79,QUINATE-H2O
M+Na,215.0526,0.79,QUINATE+Na
M+H,130.0651,5.83,QUINOLINE
,303.253,12.76,RAC-GLYCEROL 1-MYRISTATE
M+Na,527.1583,0.88,RAFFINOSE
M+H,347.2217,9.48,REICHSTEINS SUBSTANCE S
M+H,153.0546,8.51,RESORCINOL MONOACETATE
M+H,153.0757,0.7,RIBITOL
M+H-H2O,135.0652,0.7,RIBITOL_H2O
M+Na,175.0577,0.7,RIBITOL+Na
M+H,377.1456,6.68,RIBOFLAVIN
M+Na,399.1275,6.68,RIBOFLAVIN+Na
M+H,231.02654,0.68,RIBULOSE 5-PHOSPHATE
[M+Na],253.00838,0.68,RIBULOSE 5-PHOSPHATE+Na
M+H,361.0918,8.11,ROSMARINIC ACID
M+H,385.1289,4.41,S-(5'-ADENOSYL)-L-HOMOCYSTEINE
M+Na,407.1108,4.41,S-(5'-ADENOSYL)-L-HOMOCYSTEINE+Na
M+H,399.1445,0.78,S-(5'-ADENOSYL)-L-METHIONINE
M+H,180.0325,0.82,S-CARBOXYMETHYL-L-CYSTEINE
M+H-NH3,163.006,0.82,S-CARBOXYMETHYL-L-CYSTEINE-NH3
M+Na,202.0144,0.82,S-CARBOXYMETHYL-L-CYSTEINE+Na
M+H,392.185,7.87,S-HEXYL-GLUTATHIONE
M+Na,414.1669,7.87,S-HEXYL-GLUTATHIONE+Na
M+H,138.055,7.36,SALICYLAMIDE
M+H-NH3,121.0284,7.36,SALICYLAMIDE-NH3
M+H,180.1015,4.48,SALSOLINOL
M+H,90.055,0.68,SARCOSINE
M+H-H2O,72.0444,0.68,SARCOSINE-H2O
M+Na,112.0369,0.68,SARCOSINE+Na
M+H,192.0087,1.7,SELENOMETHIONINE
M+H-NH3,174.9822,1.7,SELENOMETHIONINE-NH3
M+H,177.1022,5.69,SEROTONIN
M+H-NH3,160.0757,5.69,SEROTONIN-NH3
M+H-H2O,157.0495,1,SHIKIMATE-H2O
M+Na,197.042,1,SHIKIMATE+Na
M+H,258.1101,0.72,SN-GLYCERO-3-PHOSPHOCHOLINE
M+K,296.066,0.72,SN-GLYCERO-3-PHOSPHOCHOLINE+K
M+Na,280.092,0.72,SN-GLYCERO-3-PHOSPHOCHOLINE+Na
M+H,173.021,0.79,SN-GLYCEROL 3-PHOSPHATE
M+H-H2O,95.0491,7.94,SORBATE
M+H,146.1652,0.56,SPERMIDINE
M+H-NH3,129.1386,0.56,SPERMIDINE-NH3
M+Na,168.1471,0.56,SPERMIDINE+Na
M+H,203.223,0.56,SPERMINE
M+H-NH3,186.1965,0.56,SPERMINE-NH3
,302.3054,11.8,SPHINGANINE
M+H,300.2905,12.17,SPHINGOSINE (d18:1)
,144.10167,0.94,STACHYDRINE
M+Na,689.2111,0.83,STACHYOSE
,307.1012,6.82,STARCH ACETATE
M+H,175.0965,7.78,SUBERIC ACID
M+H-H2O,157.0859,7.78,SUBERIC ACID-H2O
M+H,119.0339,2.21,SUCCINATE
M+H-H2O,101.0233,2.21,SUCCINATE-H2O
M+Na,141.0158,2.21,SUCCINATE+Na
M+H,123.059,2.15,"SUCCINIC ACID-2,2,3,3,-D4"
M+H,262.1285,5.21,SUCCINYLCARNITINE
M+Na,284.1105,5.21,SUCCINYLCARNITINE+Na
M+H,343.1235,0.82,SUCROSE
M+H-H2O,325.1129,0.82,SUCROSE-H2O
M+Na,365.1054,0.82,SUCROSE+Na
,129.12723,7.46,SULCATOL
,199.0601,6.04,SYRINGIC ACID
M+Na,173.00566,0.85,TARTARIC ACID+Na
M+Na,173.0057,0.78,TARTARIC ACID+Na
M+H,126.0219,0.65,TAURINE
M+H-H2O,108.0114,0.65,TAURINE-H2O
M+Na,148.0039,0.65,TAURINE+Na
M+H,500.3023,9.04,TAUROCHENODEOXYCHOLIC ACID
M+H,500.304,9.04,TAUROCHENODEOXYCHOLIC ACID
M+H-2H2O,464.2813,9.04,TAUROCHENODEOXYCHOLIC ACID-2H2O
Dimer,999.5997,9.04,TAUROCHENODEOXYCHOLIC ACID-dimer
M+H-H2O,482.2918,9.04,TAUROCHENODEOXYCHOLIC ACID-H2O
M+H-H2O,482.2935,9.04,TAUROCHENODEOXYCHOLIC ACID-H2O
M+K,538.2498,9.04,TAUROCHENODEOXYCHOLIC ACID+K
M+Na,522.286,9.04,TAUROCHENODEOXYCHOLIC ACID+Na
M+NH4,517.3293,9.04,TAUROCHENODEOXYCHOLIC ACID+NH4
M+H,516.299,8.41,TAUROCHOLIC ACID (TCA)
M+H-2H2O,480.2769,8.41,TAUROCHOLIC ACID (TCA)-2H2O
M+H-H2O,498.2884,8.41,TAUROCHOLIC ACID (TCA)-H2O
M+K,554.2445,8.41,TAUROCHOLIC ACID (TCA)+K
M+Na,538.2809,8.41,TAUROCHOLIC ACID (TCA)+Na
M+NH4,533.3238,8.41,TAUROCHOLIC ACID (TCA)+NH4
M+H,500.304,8.46,TAURODEOXYCHOLIC ACID
M+H,500.304,9.17,TAURODEOXYCHOLIC ACID (T-DCA)
M+H-2H2O,464.2816,9.17,TAURODEOXYCHOLIC ACID (T-DCA)-2H2O
M+H-H2O,482.2935,9.17,TAURODEOXYCHOLIC ACID (T-DCA)-H2O
M+K,538.2493,9.17,TAURODEOXYCHOLIC ACID (T-DCA)+K
M+Na,522.286,9.17,TAURODEOXYCHOLIC ACID (T-DCA)+Na
M+NH4,517.3291,9.17,TAURODEOXYCHOLIC ACID (T-DCA)+NH4
M+H-H2O,482.2935,8.46,TAURODEOXYCHOLIC ACID-H2O
M+Na,522.286,8.46,TAURODEOXYCHOLIC ACID+Na
M+H,484.3091,10.11,TAUROLITHOCHOLATE
M+H-H2O,466.2986,10.11,TAUROLITHOCHOLATE-H2O
M+Na,506.2911,10.11,TAUROLITHOCHOLATE+Na
M+H,484.3091,10,TAUROLITHOCHOLIC ACID (T-LCA)
M+H-H2O,466.2986,10,TAUROLITHOCHOLIC ACID (T-LCA)-H2O
M+K,522.2546,10,TAUROLITHOCHOLIC ACID (T-LCA)+K
M+Na,506.2911,10,TAUROLITHOCHOLIC ACID (T-LCA)+Na
M+NH4,501.3341,10,TAUROLITHOCHOLIC ACID (T-LCA)+NH4
Dimer,967.6097,10.03,TAUROLITHOCHOLIC ACID-dimer
M+H,516.299,7.92,TAUROMURICHOLIC ACID
M+H,516.299,7.98,TAUROMURICHOLIC ACID
M+H-H2O,498.2884,7.98,TAUROMURICHOLIC ACID-H2O
M+H-H2O,498.2884,7.92,TAUROMURICHOLIC ACID+H2O
M+Na,538.2809,7.92,TAUROMURICHOLIC ACID+Na
M+Na,538.2809,7.98,TAUROMURICHOLIC ACID+Na
M+H,500.304,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)
M+H-2H2O,464.2816,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)-2H2O
M+H-H2O,482.2935,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)-H2O
M+K,538.2493,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+K
M+Na,522.286,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+Na
M+NH4,517.3291,8.47,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+NH4
,305.0644,7.81,TAXIFOLIN
,357.279,10.82,TETRACOSAHEXAENOIC ACID
M+H,370.2952,13.65,TETRADECENOYLCARNITINE
M+Na,392.2771,13.65,TETRADECENOYLCARNITINE+Na
,105.037,2.13,TETRAHYDROTHIOPHENE-1-OXIDE
,217.17938,11.02,TEXANOL
M+H,181.072,5.85,THEOBROMINE
M+Na,203.0539,5.85,THEOBROMINE+Na
,181.0716,6.11,THEOPHYLLINE
M-e,265.1118,1.1,THIAMINE
M+H,345.0781,0.83,THIAMINE MONOPHOSPHATE
M+Na,367.06,0.83,THIAMINE MONOPHOSPHATE+Na
M+H,425.0444,0.79,THIAMINE PYROPHOSPHATE
M+Na,447.0264,0.79,THIAMINE PYROPHOSPHATE+Na
M+H,167.0386,6.51,THIOPURINE S-METHYLETHER
M+K,204.9945,6.51,THIOPURINE S-METHYLETHER+K
M+Na,189.0205,6.51,THIOPURINE S-METHYLETHER+Na
M+H,77.0168,0.81,THIOUREA
,120.06552,0.72,THREONINE
M+H,243.0975,5.48,THYMIDINE
M+H,323.0639,3.28,THYMIDINE 5'-MONOPHOSPHATE
M+Na,345.0458,3.28,THYMIDINE 5'-MONOPHOSPHATE+Na
M+H-H2O,225.087,5.48,THYMIDINE-H2O
M+Na,265.0795,5.48,THYMIDINE+Na
M+H,127.0502,3.23,THYMINE
M+Na,149.0321,3.23,THYMINE+Na
M+H-H2O,151.1117,7.96,THYMOL
M+H,363.1775,5.24,THYROTROPIN RELEASING HORMONE
M+Na,385.1595,5.24,THYROTROPIN RELEASING HORMONE+Na
M+H,244.1543,6.52,TIGLYLCARNITINE
M+Na,266.1363,6.52,TIGLYLCARNITINE+Na
M+H,76.07624,0.8,TMAO
M+H,132.0655,0.68,TRANS-4-HYDROXYPROLINE
M+Na,154.0475,0.68,TRANS-4-HYDROXYPROLINE+Na
M+H,175.0237,1.03,TRANS-ACONITATE
M+H,175.0237,2.44,TRANS-ACONITATE
M+H,175.02371,3.13,TRANS-ACONITATE
M+H-H2O,157.0131,1.03,TRANS-ACONITATE-H2O
M+H-H2O,157.0131,3.13,TRANS-ACONITATE-H2O
M+H-H2O,157.0131,2.44,TRANS-ACONITATE-H2O
M+Na,197.00566,1.03,TRANS-ACONITATE+Na
M+Na,197.0057,3.13,TRANS-ACONITATE+Na
M+Na,197.0057,2.44,TRANS-ACONITATE+Na
