adduct,mz,rt,name
M+H-H2O,342.2639,11.26,3-HYDROXYDODECANOYL CARNITINE-water
M+Na,382.2564,10.13,3-HYDROXYDODECANOYL CARNITINE+Na
M+H,416.337,13.65,3-HYDROXYHEXADECANOYLCARNITINE
M+Na,438.319,11.39,3-HYDROXYHEXADECANOYLCARNITINE+Na
M+H,225.087,3.07,3-HYDROXYKYNURENINE
M+H-NH3,208.0604,3.07,3-HYDROXYKYNURENINE-NH3
M+Na,247.0689,3.07,3-HYDROXYKYNURENINE+Na
M+H-H2O,135.0441,5.23,3-HYDROXYPHENYLACETATE-H2O
M+H,176.0706,8.34,3-INDOLEACETATE
M+H-H2O,181.0495,4.72,3-METHOXY-4-HYDROXYMANDELATE-H2O
M+Na,221.042,4.72,3-METHOXY-4-HYDROXYMANDELATE+Na
M+H,212.0917,5.37,3-METHOXY-L-TYROSINE
M+H-NH3,195.0652,5.37,3-METHOXY-L-TYROSINE-NH3
M+K,250.0476,5.37,3-METHOXY-L-TYROSINE+K
M+Na,234.0737,5.37,3-METHOXY-L-TYROSINE+Na
M+H,168.1019,5.55,3-METHOXYTYRAMINE
M+H-NH3,151.0754,5.55,3-METHOXYTYRAMINE-NH3
M+H,147.0652,5.92,3-METHYGLUTARIC ACID
M+H-H2O,129.0546,5.92,3-METHYGLUTARIC ACID-NH3
M+Na,169.0471,5.92,3-METHYGLUTARIC ACID+Na
M+H,148.0757,8.08,3-METHYL-2-OXINDOLE
M+H,150.0774,1.96,3-METHYLADENINE
M+Na,172.0594,1.96,3-METHYLADENINE+Na
M+H,158.08118,5.82,3-METHYLCROTONYLGLYCINE
M+H,126.1026,0.61,3-METHYLHISTAMINE
M+H-NH3,109.076,0.61,3-METHYLHISTAMINE-NH3
M+Na,148.0845,0.61,3-METHYLHISTAMINE+Na
M+H,227.0662,5.81,3-NITRO-L-TYROSINE
M+H-NH3,210.0397,5.81,3-NITRO-L-TYROSINE-NH3
M+H,375.28888,10.86,3-OXO-5-BETA-CHOLANATE
M+H-H2O,168.9897,0.81,3-PHOSPHOGLYCERIC ACID-H2O
M+H,154.0169,0.69,3-SULFINO-L-ALANINE
M+H-H2O,136.0063,0.69,3-SULFINO-L-ALANINE-H2O
M+Na,175.9988,0.69,3-SULFINO-L-ALANINE+Na
M+H,133.0608,1.14,3-UREIDOPROPIONATE
M+H-H2O,115.0502,1.14,3-UREIDOPROPIONATE-H2O
M+Na,155.0427,1.14,3-UREIDOPROPIONATE+Na
M+H,651.7973,8.11,"3,3,5-TRIIODOTHYRONINE"
M+H,198.0761,2.19,"3,4-DIHYDROXY-L-PHENYLALANINE"
M+H-NH3,181.0495,2.19,"3,4-DIHYDROXY-L-PHENYLALANINE-NH3"
M+Na,220.058,2.19,"3,4-DIHYDROXY-L-PHENYLALANINE+Na"
M+H,155.0339,6.01,"3,4-DIHYDROXYBENZOATE"
M+H-H2O,153.0546,2.13,"3,4-DIHYDROXYPHENYL GLYCOL-H2O"
M+Na,193.0471,2.13,"3,4-DIHYDROXYPHENYL GLYCOL+Na"
M+H-H2O,151.039,2.97,"3,4-DIHYDROXYPHENYLACETATE-H2O"
M+H,151.07521,7.06,"3,4-DIMETHYLBENZOATE"
M+H,219.1745,13.83,"3,5-DI-TERT-bUTYLBENZALDEHYDE"
M+H,525.9007,8.22,"3,5-DIIODO-L-THYRONINE"
M+H,433.8745,6.87,"3,5-DIIODO-L-TYROSINE"
M+H,324.0591,1.4,3'-CMP
M+Na,346.0411,1.4,3'-CMP+Na
M+H,330.0598,5.25,"3',5'-CYCLIC AMP"
M+Na,352.0417,5.25,"3',5'-CYCLIC AMP+Na"
M+H-H2O,375.2894,10.83,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE-H2O"
M+H,146.0812,3.42,4-ACETAMIDOBUTANOATE
M+H-H2O,128.0706,3.42,4-ACETAMIDOBUTANOATE-H2O
M+Na,168.0631,3.42,4-ACETAMIDOBUTANOATE+Na
M+H,146.0812,3.4,4-ACETAMIDOBUTYRATE
M+H,138.055,7.21,4-AMINOBENZOATE
M+H,138.055,6.58,4-AMINOBENZOATE
M+H-H2O,120.0444,7.21,4-AMINOBENZOATE-H2O
M+H,104.0706,0.73,4-AMINOBUTANOATE (GABA)
M+H-H2O,86.06,0.73,4-AMINOBUTANOATE (GABA)-H2O
M+H-NH3,87.0441,0.73,4-AMINOBUTANOATE (GABA)-NH3
M+Na,126.0525,0.73,4-AMINOBUTANOATE (GABA)+Na
M+H,195.07699,4.25,4-Aminohippuric Acid
M+H,165.0546,7.52,4-COUMARATE
M+H-H2O,147.0441,7.52,4-COUMARATE-H2O
M+H,146.0924,1.47,4-GUANIDINOBUTANOATE
M+H-H2O,128.0818,1.47,4-GUANIDINOBUTANOATE-H2O
M+Na,168.0743,1.47,4-GUANIDINOBUTANOATE+Na
M+H,190.0499,6.4,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID
M+Na,212.0318,6.4,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID+Na
M+H-H2O,167.0703,5.23,4-HYDROXY-3-METHOXYPHENYLGLYCOL-H2O
M+Na,207.0628,5.23,4-HYDROXY-3-METHOXYPHENYLGLYCOL+Na
M+H,168.0655,0.78,4-HYDROXY-L-PHENYLGLYCINE
M+H-NH3,151.039,0.78,4-HYDROXY-L-PHENYLGLYCINE-NH3
M+Na,190.0475,0.78,4-HYDROXY-L-PHENYLGLYCINE+Na
M+H,132.0655,0.7,4-HYDROXY-L-PROLINE
M+Na,154.0475,0.7,4-HYDROXY-L-PROLINE+Na
M+H,123.0441,7.15,4-HYDROXYBENZALDEHYDE
M+H-H2O,105.0335,6.6,4-HYDROXYBENZALDEHYDE-H2O
M+H,139.039,6.6,4-HYDROXYBENZOATE
M+H,153.05519,7.83,4-HYDROXYPHENYLACETATE
M+H,127.0502,0.88,4-IMIDAZOLEACETIC ACID
M+Na,149.0321,0.88,4-IMIDAZOLEACETIC ACID+Na
M+H,185.0447,5.96,4-O-METHYLGALLIC ACID
M+H,184.0604,4.95,4-PYRIDOXATE
M+H-H2O,166.0499,4.95,4-PYRIDOXATE-H2O
M+Na,206.0424,4.95,4-PYRIDOXATE+Na
M+H,174.055,3.34,4-QUINOLINECARBOXYLIC ACID
M+Na,196.0369,3.34,4-QUINOLINECARBOXYLIC ACID+Na
M+H,359.1124,11.43,"4'-Hydroxy-5,6,7,8-tetramethoxyflavone"
M+H,209.0787,5.84,5-(DIHYDROXYPHENYL)-GAMMA-VALEROLACTONE
M+H,339.07,1.36,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE
M+Na,361.052,1.36,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE+Na
M+H,132.0655,0.78,5-AMINOLEVULINIC ACID
M+H-H2O,114.055,0.78,5-AMINOLEVULINIC ACID-H2O
M+Na,154.0475,0.78,5-AMINOLEVULINIC ACID+Na
M+H-NH3,101.0597,1.02,5-AMINOPENTANOATE-NH3
M+H,221.0921,5.61,5-HYDROXY-L-TRYPTOPHAN
M+H-NH3,204.0655,5.61,5-HYDROXY-L-TRYPTOPHAN-NH3
M+Na,243.074,5.61,5-HYDROXY-L-TRYPTOPHAN+Na
M+H,253.0808,9.69,5-HYDROXY-N-FORMYLKYNURENINE
M+H,192.0655,6.82,5-HYDROXYINDOLEACETATE
